Date,CrimeActivity,StormActivity,Zone,City
10/26/2019,Burglary,Hail,METROPOLITAN MIAMI-DADE,Hialeah
10/27/2019,Larcency- Theft,,COASTAL MIAMI-DADE COUNTY,North Miami
10/27/2019,Property Crime,Tropical Storm,COASTAL MIAMI-DADE COUNTY,Miami Shores
10/27/2019,Property Crime,,COASTAL MIAMI-DADE COUNTY,West Miami
10/27/2019,Motor Vehicle - Theft,,METROPOLITAN MIAMI-DADE,Sweetwater
10/27/2019,Violent Crime,Storm Surge/Tide,COASTAL MIAMI-DADE COUNTY,Miami Gardens
10/27/2019,Burglary,Lightning,COASTAL MIAMI-DADE COUNTY,Miami Gardens
10/27/2019,Burglary,Hail,INLAND MIAMI-DADE,Bal Harbour
10/27/2019,Motor Vehicle - Theft,Hail,COASTAL MIAMI-DADE COUNTY,Miami Shores
10/28/2019,Motor Vehicle - Theft,,COASTAL MIAMI-DADE COUNTY,North Bay Village
10/28/2019,Robbery,Thunderstorm Wind,COASTAL MIAMI-DADE COUNTY,North Miami
10/28/2019,Robbery,,METROPOLITAN MIAMI-DADE,Florida City
10/28/2019,Violent Crime,Flash Flood,MIAMI-DADE CO.,Hialeah Gardens
10/28/2019,Property Crime,Coastal Flood,INLAND MIAMI-DADE,Miami
10/28/2019,Violent Crime,Storm Surge/Tide,INLAND MIAMI-DADE,Palmetto Bay
10/28/2019,Motor Vehicle - Theft,,INLAND MIAMI-DADE,Palmetto Bay
10/28/2019,Murder and Non-negligent manslaughter,Tropical Storm,MIAMI-DADE CO.,Cutler Bay
10/29/2019,Robbery,Hail,INLAND MIAMI-DADE,Bal Harbour
10/29/2019,Robbery,Flash Flood,MIAMI-DADE CO.,Golden Beach
10/29/2019,Violent Crime,Hail,MIAMI-DADE CO.,Cutler Bay
10/29/2019,Burglary,Coastal Flood,COASTAL MIAMI-DADE COUNTY,South Miami
10/30/2019,Aggravated Assault,,MIAMI-DADE CO.,Cutler Bay
10/30/2019,Murder and Non-negligent manslaughter,Tropical Storm,COASTAL MIAMI-DADE COUNTY,Sunny Isles Beach
10/30/2019,Aggravated Assault,,INLAND MIAMI-DADE,Palmetto Bay
10/30/2019,Aggravated Assault,Lightning,COASTAL MIAMI-DADE COUNTY,Miami Springs
10/30/2019,Robbery,,INLAND MIAMI-DADE,Doral
10/30/2019,Motor Vehicle - Theft,Strong Wind Rain,METROPOLITAN MIAMI-DADE,Hialeah
10/30/2019,Murder and Non-negligent manslaughter,,INLAND MIAMI-DADE,Doral
10/30/2019,Motor Vehicle - Theft,Tropical Storm,INLAND MIAMI-DADE,Bay Harbor Islands
10/31/2019,Property Crime,Tropical Storm,METROPOLITAN MIAMI-DADE,Homestead
10/31/2019,Aggravated Assault,Thunderstorm Wind,MIAMI-DADE CO.,El Portal
10/31/2019,Motor Vehicle - Theft,Thunderstorm Wind,COASTAL MIAMI-DADE COUNTY,Miami Beach
10/31/2019,Burglary,Hail,INLAND MIAMI-DADE,Bay Harbor Islands
10/31/2019,Aggravated Assault,Hail,METROPOLITAN MIAMI-DADE,Pinecrest
10/31/2019,Murder and Non-negligent manslaughter,Strong Wind Rain,INLAND MIAMI-DADE,Bay Harbor Islands
10/31/2019,Motor Vehicle - Theft,,MIAMI-DADE CO.,Virginia Gardens
10/31/2019,Motor Vehicle - Theft,Lightning,COASTAL MIAMI-DADE COUNTY,South Miami
10/31/2019,Murder and Non-negligent manslaughter,Thunderstorm Wind,METROPOLITAN MIAMI-DADE,Homestead
